text_jp;text_fr
I28_マジックブーツ;I28_Bottes magiques
I29_アイテム０２９;I29_Objet 029
I30_アイテム０３０;I30_Objet 030
I31_ジャックの豆;I31_Haricots de Jack
I32_サンドケープ;I32_Cape de sable
I33_壊れた鎧;I33_Armure brisée
I34_アイテム０３４;I34_Objet 034
I35_さく裂弾;I35_Bombe explosive
I36_薬草;I36_Herbe médicinale
I37_Ｌ・ポーション;I37_Potion L
I38_マジカルエキス;I38_Extrait magique
I39_キュアエール;I39_Breuvage de soin
I40_アクアケープ;I40_Cape aquatique
I41_Ｓ・ポーション;I41_Potion S
I42_アイテム０４２;I42_Objet 042
I43_大地の章（上）;I43_Tome de la Terre (haut)
I44_大地の章（下）;I44_Tome de la Terre (bas)
I45_水魔の章（上）;I45_Tome du démon d’eau (haut)
I46_水魔の章（下）;I46_Tome du démon d’eau (bas)
I47_火竜の章（上）;I47_Tome du dragon de feu (haut)
I48_火竜の章（下）;I48_Tome du dragon de feu (bas)
I49_風神の章（上）;I49_Tome du dieu du vent (haut)
I50_風神の章（下）;I50_Tome du dieu du vent (bas)
I51_オークの指輪;I51_Anneau d’orc
I52_オーガの指輪;I52_Anneau d’ogre
I53_鋼鎧の腕輪;I53_Bracelet d’armure d’acier
I54_銀鎧の腕輪;I54_Bracelet d’armure d’argent
I55_回復の輪;I55_Anneau de régénération
I56_治癒の輪;I56_Anneau de guérison
I57_入場券;I57_Billet d’entrée
I58_アイテム０５８;I58_Objet 058
I59_パワーグローブ;I59_Gant de puissance
I60_エレベーターの鍵;I60_Clé de l’ascenseur
I61_鍵;I61_Clé
I62_鳩血の紋章;I62_Emblème du sang de pigeon
I63_青碧の紋章;I63_Emblème azur
I64_黄玉の紋章;I64_Emblème de topaze
I65_褐色の紋章;I65_Emblème brun
I66_真紅の紋章;I66_Emblème écarlate
I67_深緑の紋章;I67_Emblème vert sombre
I68_白銀の紋章;I68_Emblème d’argent
I69_１ギルダ;I69_1 Gilda
I70_５ギルダ;I70_5 Gildas
I71_１０ギルダ;I71_10 Gildas
I72_３０ギルダ;I72_30 Gildas
I73_？古びた鍵;I73_? Vieille clé
I74_花束;I74_Bouquet de fleurs
I75_アンゼスの鍵;I75_Clé d’Anzes
I76_アンゼスの遺書;I76_Testament d’Anzes
I77_大樹の珠;I77_Orbe du grand arbre
I78_ゾリストの石;I78_Pierre de Zolist
I79_金のくちばし;I79_Bec en or
I80_マジックシード;I80_Graine magique
I81_小水晶;I81_Petit cristal
I82_大水晶;I82_Grand cristal
I83_命の器;I83_Récipient de vie
I84_小ハート;I84_Petit cœur
I85_中ハート;I85_Cœur moyen
I86_大ハート;I86_Grand cœur
I87_？お礼の品;I87_? Cadeau de remerciement
I88_エルナの本;I88_Livre d’Elna
I89_アイテム０８９;I89_Objet 089
I90_アイテム０９０;I90_Objet 090
I91_アイテム０９１;I91_Objet 091
I92_アイテム０９２;I92_Objet 092
I93_アイテム０９３;I93_Objet 093
I94_アイテム０９４;I94_Objet 094
I95_アイテム０９５;I95_Objet 095
I96_アイテム０９６;I96_Objet 096
I97_アイテム０９７;I97_Objet 097
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
弾（直線）;Projectile (ligne droite)
弾（落下）;Projectile (chute)
弾（放物線）;Projectile (parabolique)
弾（ブーメラン）;Projectile (boomerang)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
(空き);(vide)
アンゼスの箱;Coffre d’Anzes
透明（弓用）;Bloc transparent (pour arc)
押す、攻撃ブロック;Bloc à pousser/attaquer
鉄球壁（2x2x1）常駐;Mur à boule de fer (2×2×1) permanent
透明君（8x2x1）;Bloc transparent (8×2×1)
鉄球壁（2x2x2）常駐;Mur à boule de fer (2×2×2) permanent
透明君（3x3x3);Bloc transparent (3×3×3)
とても重い石;Pierre très lourde
でっかい透明君(6x10);Gros bloc transparent (6×10)
砂煙;Nuage de sable
SaveBook(Don'tTouch!);SaveBook (Ne pas toucher !)
燃えるイバラ２２２;Ronces enflammées 222
燃えるイバラ１１２;Ronces enflammées 112
任意方向移動プレート;Plateforme mobile toutes directions
爆弾ロッド用蓋（横）;Couvercle de tige-bombe (horizontal)
爆弾ロッド用蓋（上）;Couvercle de tige-bombe (dessus)
爆弾ロッド用蓋（縦）;Couvercle de tige-bombe (vertical)
透明キー接触（極小）;Déclencheur clé invisible (très petit)
荷積みトロッコ;Chariot de chargement
透明キー接触（標準）;Déclencheur clé invisible (standard)
墓;Tombe
透明君（巨大）;Bloc transparent (gigantesque)
透明君（極小）;Bloc transparent (minuscule)
(空き);(vide)
レーザー（？）;Laser (?)
落石;Rocher tombant
爆弾で壊れる根;Racine destructible à la bombe
汎用看板;Panneau générique
END;FIN
ビイゼン（村長）;Beizen (chef du village)
トステア（妻）;Tostea (épouse)
ツーラス（息子）;Turas (fils)
ユステル（占い婆）;Yustel (vieille voyante)
アンゼス（武器屋）;Anzes (armurier)
ロエイン（神父）;Roein (prêtre)
シヴィル（赤目）;Shivil (aux yeux rouges)
シーラ（母親）;Sheela (mère)
オーレン（抗夫）;Oren (mineur)
ルィック（抗夫）;Luik (mineur)
ヌィンダ（抗夫）;Nuinda (mineur)
ズーリム（抗夫）;Zulim (mineur)
セクタス（研究家）;Sectus (chercheur)
ナーシア（不眠女）;Narsia (femme insomniaque)
モラアス（老婆）;Moraas (vieille femme)
ボージス（永眠男）;Bojis (homme endormi à jamais)
メイザン（父親）;Meizan (père)
クライン（夢遊病）;Klein (somnambule)
ゴウセル（宗教男）;Gouser (homme religieux)
キーシャ（妹）;Kisha (petite sœur)
エリーン（多重女）;Elin (femme à personnalités multiples)
ウストウ（酔どれ）;Ustow (ivrogne)
ベグラス（兄）;Beglas (frère aîné)
ネクタス（弟）;Nectas (frère cadet)
マーチス（双子父）;Martis (père des jumeaux)
イルニィ（双子母）;Ilni (mère des jumeaux)
ワインズ（祖父）;Wines (grand-père)
ヤァード（道具屋）;Yaard (marchand d’objets)
ノウラン（肝玉妻）;Nauran (épouse courageuse)
ハヴァン（岬老人）;Havan (vieil homme du cap)
ケイトス（墓守）;Keitos (gardien de cimetière)
ルータス（デブ）;Lutas (gros bonhomme)
フェイン（デブ妻）;Fein (femme du gros)
ワンちゃん（犬）;Toutou (chien)
汎用タル;Tonneau générique
汎用壺;Cruche générique
汎用木箱;Caisse en bois générique
汎用石;Pierre générique
壺その２;Cruche n°2
石（鉄球で破壊可）１;Pierre (destructible à la boule de fer) 1
石（鉄球で破壊可）２;Pierre (destructible à la boule de fer) 2
持てる草;Herbe transportable
押せる石像(イベント);Statue poussable (événement)
石像;Statue de pierre
ＳＷ（乗る）使用不可;Interrupteur (monter) inutilisable
ＳＷ（踏む）←使う！;Interrupteur (piétiner) ← à utiliser !
メディアム;Médium
本;Livre
持てる氷;Bloc de glace transportable
ＳＷ（レバー）;Interrupteur (levier)
ＳＷ（壁）;Interrupteur (mur)
ＳＷ（点火）;Interrupteur (allumage)
ＳＷ（切り替え）;Interrupteur (bascule)
火炎放射台;Plateforme lance-flammes
鉄球（小）;Boule de fer (petite)
鉄球（大）;Boule de fer (grande)
浮遊床（小）;Plateforme flottante (petite)
浮遊床（大）;Plateforme flottante (grande)
転石（小）;Rocher roulant (petit)
転石（大）;Rocher roulant (grand)
火柱（アイスロッド）;Pilier de feu (Ice Rod)
発射台;Rampe de lancement
ちくちく床;Sol piquant
炎;Flamme
いばら（火ロッド用）;Ronces (bâton de feu)
壊れる浮遊床（小）;Plateforme flottante fragile (petite)
壊れる浮遊床（大）;Plateforme flottante fragile (grande)
ドア（小）;Porte (petite)
ドア（大）;Porte (grande)
鉄格子（小）;Grille de fer (petite)
鉄格子（大）;Grille de fer (grande)
階段用フタ（小）;Trappe d’escalier (petite)
階段用フタ（大）;Trappe d’escalier (grande)
◆スライミージェル;◆Slime gélatineux
◆−弾;◆Projectile
死にエリーン;Élin morte
死にボージス;Bojis mort
死にモラアス;Moraas morte
死にナーシア;Narsia morte
◆ビーンノイド;◆Beannoïde
波動エンジン;Moteur à ondes
炎（アイスロッド用）;Flammes (pour Ice Rod)
◆オーク(斧)Lv１;◆Orc (hache) Niv.1
サーティ（夢の女）;Sarty (femme du rêve)
ジャンプ台;Rampe de saut
◆オーク(メイス)Ｌｖ１;◆Orc (masse) Niv.1
４方向砲台;Tourelle à 4 directions
水平方向炎;Flammes horizontales
◆オーク(鉄)Ｌｖ１;◆Orc (armure de fer) Niv.1
押すスイッチ;Interrupteur poussoir
大顔面（俺アイダ）;Grand visage (Aida)
◆ムルータ(爪)Ｌｖ１;◆Muruta (griffes) Niv.1
吊り天井;Plafond suspendu
少女メディアム;Jeune médium
◆ムルータ(弓)Ｌｖ１;◆Muruta (arc) Niv.1
◆−弓Ｌｖ１;◆Flèche Niv.1
チェイン;Chaîne
アリシア;Alicia
リィジオ;Rijio
メディアムの母;Mère du médium
◆ムルータ(ブ)Ｌｖ１;◆Muruta (boomerang) Niv.1
◆−ブーメランＬｖ１;◆Boomerang Niv.1
ザ・ローブマン;L’Homme en robe
バタンＱ男;Homme effondré
緊縛メディアム;Médium ligoté
赤青２色ボックス;Boîte bicolore rouge/bleu
◆リザード(剣)Ｌｖ１;◆Homme-lézard (épée) Niv.1
星オブジェ（持）;Objet étoile (transportable)
絵柄プレート;Plaque à motif
◆リザード(槍)Ｌｖ１;◆Homme-lézard (lance) Niv.1
◆−槍Ｌｖ１;◆Lance Niv.1
月オブジェ（持）;Objet lune (transportable)
水オブジェ（持）;Objet eau (transportable)
太陽オブジェ（持）;Objet soleil (transportable)
王、従者、女神像;Statue de roi, serviteur et déesse
◆リザード(弾)Ｌｖ１;◆Homme-lézard (projectiles) Niv.1
◆−弾Ｌｖ１;◆Projectile Niv.1
丸太（持）、小鉄球;Tronc (transportable), petite boule de fer
鉄球壁（２２２）鉄球;Mur à boule de fer (222) – boule de fer
鉄球壁（２２１）;Mur à boule de fer (221)
鉄球壁（１１２）軸;Mur à boule de fer (112) – axe
◆ミミング(鎌)Ｌｖ１;◆Mimming (faux) Niv.1
ミミング王;Roi Mimming
ボージス＆石（YM03）;Bojis & pierre (YM03)
にわとり;Poulet
からす;Corbeau
鉄球壁（１１１）;Mur à boule de fer (111)
三色スイッチ;Interrupteur tricolore
変身リザードマン像;Statue d’homme-lézard transformé
水浮き・鉄球（大）;Flotteur d’eau / grande boule de fer
◆ミミング(回)Ｌｖ１;◆Mimming (rotation) Niv.1
壊せる柱(UD■/LR●);Pilier détruisible (UD■/LR●)
棺;Cercueil
◆ローパーＬｖ１;◆Roper Niv.1
氷柱;Colonne de glace
水しずく;Goutte d’eau
◆魚Ｌｖ１;◆Poisson Niv.1
たいまつ;Torche
ジェネレータ;Générateur
◆岩顔Ｌｖ１;◆Tête de roche Niv.1
流木.01水上/23空中;Bois flottant .01 sur l’eau / .23 en l’air
泡.012乗/34否乗;Bulle .0-1-2 support /3-4 non support
ランプスイッチ;Interrupteur de lampe
鍵師;Maître des clés
メディアム　(YM08用);Médium (pour YM08)
◆虫男Ｌｖ１;◆Homme-insecte Niv.1
船員/乗客/カモメ;Marin / passager / mouette
くさり.0通/1滅/2待;Chaîne .0 traversable /1 détruite /2 attente
◆ミミックＬｖ１;◆Mimique Niv.1
壊れる鎧;Armure cassable
４５ｃ回転扉;Porte rotative 45°
YM08結界u水d炎l砂r氷;YM08 barrière u=eau d=feu l=sable r=glace
asiba;asiba (plateforme)
魔法の鉢(びよよん);Pot magique (boïng)
◆ワームＬｖ１;◆Ver Niv.1
◆−弾Ｌｖ１;◆Projectile Niv.1
◆ウィルダ（首）;◆Wilda (tête)
◆−胴;◆Corps
◆−ドラゴンブレス;◆Souffle de dragon
◆−火炎弾;◆Boule de feu
空;Vide
空;Vide
◆メルザス（本体）;◆Melzas (corps principal)
◆−追尾レーザー;◆Laser à tête chercheuse
◆−螺旋弾（遅い）;◆Projectiles en spirale (lents)
空;Vide
空;Vide
◆−追尾弾（遅い）;◆Projectiles à tête chercheuse (lents)
◆−分身メルザス;◆Double de Melzas
◆ミイラ男Ｌｖ１;◆Homme momie Niv.1
メルザス怨念;Rancune de Melzas
メルザス神像;Statue divine de Melzas
◆ゴーストＬｖ１;◆Fantôme Niv.1
風船スイッチ;Interrupteur à ballon
押せる柱(ＰＲＧ);Pilier poussable (PRG)
◆泥男Ｌｖ１;◆Homme de boue Niv.1
◆−弾Ｌｖ１;◆Projectile Niv.1
ミニ・ニルード(D12);Mini-Nilude (D12)
クライン（夢専用）;Klein (rêve uniquement)
空・空にしてもOKっす;Vide – OK de laisser vide
空;Vide
◆岩ガメＬｖ１;◆Tortue de roche Niv.1
敵じゃないカメ岩;Rocher tortue non ennemi
空;Vide
◆カゲマンＬｖ１;◆Homme-ombre Niv.1
◆岩ガメＬｖ２;◆Tortue de roche Niv.2
空;Vide
◆キノコＬｖ１;◆Champignon Niv.1
◆−胞子Ｌｖ１;◆Spores Niv.1
敵じゃないキノコ;Champignon non ennemi
◆邪神化ロエイン;◆Roein divin corrompu
◆−ロエインコレダー;◆Collider de Roein
◆−ロエインボンバー;◆Bombardement de Roein
◆ゾンビＬｖ１;◆Zombie Niv.1
◆−ロエインシールド;◆Bouclier de Roein
空;Vide
◆ＰゾルジアＬｖ１;◆P-Zoldia Niv.1
◆ＰゾルジアＬｖ２;◆P-Zoldia Niv.2
◆ミイラ男Ｌｖ２;◆Homme momie Niv.2
◆はちＬｖ１;◆Guêpe Niv.1
◆ローパーＬｖ２;◆Roper Niv.2
空;Vide
◆はえＬｖ１;◆Mouche Niv.1
◆巨大スライム（大）;◆Slime géant (grand)
◆巨大スライム（小）;◆Slime géant (petit)
◆木人Ｌｖ１;◆Homme de bois Niv.1
◆−弾Ｌｖ１;◆Projectile Niv.1
◆メルザス後;◆Après Melzas
◆−腕、弾;◆Bras, projectiles
◆−触手;◆Tentacule
空;Vide
◆カマドＬｖ１;◆Fourneau Niv.1
◆−弾Ｌｖ１;◆Projectile Niv.1
◆−ゾルジア魔法;◆Magie de Zoldia
◆−ビーム兄弟（毒ガス）;◆Frères Rayon (gaz toxique)
◆巨大スライム（目玉）;◆Slime géant (œil)
◆−巨大スライム（体）;◆Slime géant (corps)
◆火の鳥Ｌｖ１;◆Oiseau de feu Niv.1
◆−弾（羽）Ｌｖ１;◆Projectiles (plumes) Niv.1
◆−弾（火の粉）Ｌｖ１;◆Projectiles (étincelles) Niv.1
◆吸い込み君;◆Monsieur Aspiration
◆−吸い込み効果;◆Effet d’aspiration
◆−子供スライム;◆Petit slime
◆ドラゴン;◆Dragon
◆−ドラゴン炎;◆Flammes de dragon
◆−ドラゴン３弾;◆Triple projectile de dragon
◆狼男  Ｌｖ１;◆Loup-garou Niv.1
◆−キング破片;◆Débris du roi
◆−アビス（泡弾）;◆Abyss (projectiles-bulles)
◆アビスＬｖ１;◆Abyss Niv.1
◆−アビス（右）;◆Abyss (droite)
◆−アビス（左）;◆Abyss (gauche)
◆ムカデ（親）;◆Mille-pattes (corps principal)
◆−ムカデ（胴）;◆Mille-pattes (tronc)
◆−ムカデ（尻尾）;◆Mille-pattes (queue)
◆−ムカデ（つなぎ）;◆Mille-pattes (joint)
◆−ムカデ（胴２）;◆Mille-pattes (tronc 2)
◆ニルード（残留思念）;◆Nilude (pensée résiduelle)
◆リザードボスＬｖ１;◆Boss lézard Niv.1
◆ニルード（体つき）;◆Nilude (avec corps)
◆−ニルード落石(222);◆Chute de rochers de Nilude (222)
◆エレメントＬｖ１;◆Élément Niv.1
◆−エレメント岩;◆Roche élémentaire
◆−エレメント監視;◆Surveillance élémentaire
◆ビーム兄弟（兄）Ｌ１;◆Frère Rayon (aîné) Niv.1
◆−ビーム兄弟（弟）;◆Frère Rayon (cadet)
◆−ニルード落石(112);◆Chute de rochers de Nilude (112)
◆−ニルード落石(111);◆Chute de rochers de Nilude (111)
◆−ムカデ（反射弾）;◆Mille-pattes (projectiles réfléchis)
◆−ムカデ（炸裂卵）;◆Mille-pattes (œufs explosifs)
◆ムルータキング;◆Roi Muruta
◆−キング大岩;◆Grand rocher du roi
◆−キング手下;◆Sbires du roi
◆ゾルジア;◆Zoldia
◆−ゾルジア魔法陣;◆Cercle magique de Zoldia
◆−ゾルジア弾;◆Projectiles de Zoldia
