Adresse,Texte (Shift-JIS),Traduction Française
0x800241f0,４７９,
0x800241e8,４８０,
0x800241e0,４８１,
0x800241d8,４８２,
0x800241d0,４８３,
0x800241c8,４８４,
0x800241c0,４８５,
0x800241b8,４８６,
0x800241b0,４８７,
0x800241a8,４８８,
0x800241a0,４８９,
0x80024198,４９０,
0x80024190,４９１,
0x80024188,４９２,
0x80024180,４９３,
0x80024178,４９４,
0x80024170,４９５,
0x80024168,４９６,
0x80024160,４９７,
0x80024158,４９８,
0x80024150,４９９,
0x80024140,(void *)NULL,
0x80026328,なし,
0x80026314,０１　アランドラ,
0x80026304,０２　アンゼス,
0x800262f8,０３　嵐,
0x800262e8,０４　ボス１,
0x800262d8,０５　ボス２,
0x800262c4,０６　ちんこん？,
0x800262b0,０７　フィールド,
0x800262a4,０８　怒り,
0x80026298,０９　遺跡,
0x80026288,１０　悲しみ,
0x8002627c,１１　火山,
0x80026270,１２　教会,
0x80026264,１３　巨神,
0x80026254,１４　最終ボス,
0x80026244,１５　ロエイン,
0x80026238,１６　村１,
0x8002622c,１７　村２,
0x80026220,１８　村３,
0x80026210,１９　ムルータ,
0x80026200,２０　ニルード,
0x800261f0,２１　おふくろ,
0x800261e4,２２　砂漠,
0x800261d8,２３　最後,
0x800261c8,２４　セクタス,
0x800261bc,２５　戦場,
0x800261b0,２６　神殿,
0x800261a4,２７　自然,
0x80026198,２８　水中,
0x8002618c,２９　大樹,
0x80026180,３０　夢,
0x80026174,３１　迷い,
0x80026160,３２　メディアム,
0x80026150,３３　メルザス,
0x80026140,３４　ミミング,
0x80026134,３５　妖精,
0x80026124,３６　クリア,
0x8002610c,３７　イベントクリア,
0x800260fc,３８　イベント,
0x800260e8,３９　ゲームオーバ,
0x800260d0,４０　アイテムゲット,
0x800260c0,４１　ロード,
0x800260b4,４２　勝利,
0x800260a8,４３　死亡,
0x80026098,４４　ワープ,
0x8002608c,４５　賢者,
0x80026084,４６　,
0x8002607c,４７　,
0x80026074,４８　,
0x8002606c,４９　,
0x80024140,(void *)NULL,
