index,pointer_address,string_address,length_bytes,text
198,80098a24,0x80022418,6,"(空き)"
199,80098a28,0x80022418,6,"(空き)"
200,80098a2c,0x80022418,6,"(空き)"
201,80098a30,0x80022418,6,"(空き)"
202,80098a34,0x80022418,6,"(空き)"
203,80098a38,0x80022418,6,"(空き)"
204,80098a3c,0x80022418,6,"(空き)"
205,80098a40,0x80022418,6,"(空き)"
206,80098a44,0x80022418,6,"(空き)"
207,80098a48,0x80022418,6,"(空き)"
208,80098a4c,0x80022418,6,"(空き)"
209,80098a50,0x80022418,6,"(空き)"
210,80098a54,0x80022418,6,"(空き)"
211,80098a58,0x80022418,6,"(空き)"
212,80098a5c,0x80022418,6,"(空き)"
213,80098a60,0x80022418,6,"(空き)"
214,80098a64,0x80022418,6,"(空き)"
215,80098a68,0x80022418,6,"(空き)"
216,80098a6c,0x80022418,6,"(空き)"
217,80098a70,0x80022418,6,"(空き)"
218,80098a74,0x80022418,6,"(空き)"
219,80098a78,0x80022418,6,"(空き)"
220,80098a7c,0x80022418,6,"(空き)"
221,80098a80,0x80022418,6,"(空き)"
222,80098a84,0x80022418,6,"(空き)"
223,80098a88,0x80022418,6,"(空き)"
224,80098a8c,0x80022418,6,"(空き)"
225,80098a90,0x80022418,6,"(空き)"
226,80098a94,0x80022418,6,"(空き)"
227,80098a98,0x80021bc4,12,"アンゼスの箱"
228,80098a9c,0x80021bb4,12,"透明（弓用）"
229,80098aa0,0x80021ba0,18,"押す、攻撃ブロック"
230,80098aa4,0x80021b8c,19,"鉄球壁（2x2x1）常駐"
231,80098aa8,0x80021b7c,15,"透明君（8x2x1）"
232,80098aac,0x80021b68,19,"鉄球壁（2x2x2）常駐"
233,80098ab0,0x80021b58,14,"透明君（3x3x3)"
234,80098ab4,0x80021b48,12,"とても重い石"
235,80098ab8,0x80021b30,20,"でっかい透明君(6x10)"
236,80098abc,0x80021b28,4,"砂煙"
237,80098ac0,0x80021b10,21,"SaveBook(Don'tTouch!)"
238,80098ac4,0x80021afc,18,"燃えるイバラ２２２"
239,80098ac8,0x80021ae8,18,"燃えるイバラ１１２"
240,80098acc,0x80021ad0,20,"任意方向移動プレート"
241,80098ad0,0x80021ab8,20,"爆弾ロッド用蓋（横）"
242,80098ad4,0x80021aa0,20,"爆弾ロッド用蓋（上）"
243,80098ad8,0x80021a88,20,"爆弾ロッド用蓋（縦）"
244,80098adc,0x80021a70,20,"透明キー接触（極小）"
245,80098ae0,0x80021a60,14,"荷積みトロッコ"
246,80098ae4,0x80021a48,20,"透明キー接触（標準）"
247,80098ae8,0x80021a44,2,"墓"
248,80098aec,0x80021a34,14,"透明君（巨大）"
249,80098af0,0x80021a24,14,"透明君（極小）"
250,80098af4,0x80022418,6,"(空き)"
251,80098af8,0x80021a14,14,"レーザー（？）"
252,80098afc,0x80021a0c,4,"落石"
253,80098b00,0x800219fc,14,"爆弾で壊れる根"
254,80098b04,0x800219f0,8,"汎用看板"
255,80098b08,0x800219ec,3,"END"
256,80098b0c,0x800219d8,16,"ビイゼン（村長）"
257,80098b10,0x800219c8,14,"トステア（妻）"
258,80098b14,0x800219b4,16,"ツーラス（息子）"
259,80098b18,0x800219a0,18,"ユステル（占い婆）"
260,80098b1c,0x8002198c,18,"アンゼス（武器屋）"
261,80098b20,0x80021978,16,"ロエイン（神父）"
262,80098b24,0x80021964,16,"シヴィル（赤目）"
263,80098b28,0x80021954,14,"シーラ（母親）"
264,80098b2c,0x80021940,16,"オーレン（抗夫）"
265,80098b30,0x8002192c,16,"ルィック（抗夫）"
266,80098b34,0x80021918,16,"ヌィンダ（抗夫）"
267,80098b38,0x80021904,16,"ズーリム（抗夫）"
268,80098b3c,0x800218f0,18,"セクタス（研究家）"
269,80098b40,0x800218dc,18,"ナーシア（不眠女）"
270,80098b44,0x800218c8,16,"モラアス（老婆）"
271,80098b48,0x800218b4,18,"ボージス（永眠男）"
272,80098b4c,0x800218a0,16,"メイザン（父親）"
273,80098b50,0x8002188c,18,"クライン（夢遊病）"
274,80098b54,0x80021878,18,"ゴウセル（宗教男）"
275,80098b58,0x80021868,14,"キーシャ（妹）"
276,80098b5c,0x80021854,18,"エリーン（多重女）"
277,80098b60,0x80021840,18,"ウストウ（酔どれ）"
278,80098b64,0x80021830,14,"ベグラス（兄）"
279,80098b68,0x80021820,14,"ネクタス（弟）"
280,80098b6c,0x8002180c,18,"マーチス（双子父）"
281,80098b70,0x800217f8,18,"イルニィ（双子母）"
282,80098b74,0x800217e4,16,"ワインズ（祖父）"
283,80098b78,0x800217d0,18,"ヤァード（道具屋）"
284,80098b7c,0x800217bc,18,"ノウラン（肝玉妻）"
285,80098b80,0x800217a8,18,"ハヴァン（岬老人）"
286,80098b84,0x80021794,16,"ケイトス（墓守）"
287,80098b88,0x80021780,16,"ルータス（デブ）"
288,80098b8c,0x8002176c,18,"フェイン（デブ妻）"
289,80098b90,0x80021758,16,"ワンちゃん（犬）"
290,80098b94,0x8002174c,8,"汎用タル"
291,80098b98,0x80021744,6,"汎用壺"
292,80098b9c,0x80021738,8,"汎用木箱"
293,80098ba0,0x80021730,6,"汎用石"
294,80098ba4,0x80021724,8,"壺その２"
295,80098ba8,0x8002170c,20,"石（鉄球で破壊可）１"
296,80098bac,0x800216f4,20,"石（鉄球で破壊可）２"
297,80098bb0,0x800216e8,8,"持てる草"
298,80098bb4,0x800216d0,20,"押せる石像(イベント)"
299,80098bb8,0x800216c8,4,"石像"
300,80098bbc,0x800216b0,20,"ＳＷ（乗る）使用不可"
301,80098bc0,0x80021698,20,"ＳＷ（踏む）←使う！"
302,80098bc4,0x8002168c,10,"メディアム"
303,80098bc8,0x80021688,2,"本"
304,80098bcc,0x8002167c,8,"持てる氷"
305,80098bd0,0x8002166c,14,"ＳＷ（レバー）"
306,80098bd4,0x80021660,10,"ＳＷ（壁）"
307,80098bd8,0x80021650,12,"ＳＷ（点火）"
308,80098bdc,0x8002163c,16,"ＳＷ（切り替え）"
309,80098be0,0x80021630,10,"火炎放射台"
310,80098be4,0x80021624,10,"鉄球（小）"
311,80098be8,0x80021618,10,"鉄球（大）"
312,80098bec,0x80021608,12,"浮遊床（小）"
313,80098bf0,0x800215f8,12,"浮遊床（大）"
314,80098bf4,0x800215ec,10,"転石（小）"
315,80098bf8,0x800215e0,10,"転石（大）"
316,80098bfc,0x800215c8,20,"火柱（アイスロッド）"
317,80098c00,0x800215c0,6,"発射台"
318,80098c04,0x800215b4,10,"ちくちく床"
319,80098c08,0x800215b0,2,"炎"
320,80098c0c,0x80021598,20,"いばら（火ロッド用）"
321,80098c10,0x80021584,18,"壊れる浮遊床（小）"
322,80098c14,0x80021570,18,"壊れる浮遊床（大）"
323,80098c18,0x80021564,10,"ドア（小）"
324,80098c1c,0x80021558,10,"ドア（大）"
325,80098c20,0x80021548,12,"鉄格子（小）"
326,80098c24,0x80021538,12,"鉄格子（大）"
327,80098c28,0x80021524,16,"階段用フタ（小）"
328,80098c2c,0x80021510,16,"階段用フタ（大）"
329,80098c30,0x800214fc,18,"◆スライミージェル"
330,80098c34,0x800214f4,6,"◆−弾"
331,80098c38,0x800214e4,12,"死にエリーン"
332,80098c3c,0x800214d4,12,"死にボージス"
333,80098c40,0x800214c4,12,"死にモラアス"
334,80098c44,0x800214b4,12,"死にナーシア"
335,80098c48,0x800214a4,14,"◆ビーンノイド"
336,80098c4c,0x80021494,12,"波動エンジン"
337,80098c50,0x8002147c,20,"炎（アイスロッド用）"
338,80098c54,0x80021468,16,"◆オーク(斧)Lv１"
339,80098c58,0x80021454,18,"サーティ（夢の女）"
340,80098c5c,0x80021448,10,"ジャンプ台"
341,80098c60,0x80021430,22,"◆オーク(メイス)Ｌｖ１"
342,80098c64,0x80021424,10,"４方向砲台"
343,80098c68,0x80021418,10,"水平方向炎"
344,80098c6c,0x80021404,18,"◆オーク(鉄)Ｌｖ１"
345,80098c70,0x800213f4,12,"押すスイッチ"
346,80098c74,0x800213e0,18,"大顔面（俺アイダ）"
347,80098c78,0x800213c8,20,"◆ムルータ(爪)Ｌｖ１"
348,80098c7c,0x800213bc,8,"吊り天井"
349,80098c80,0x800213ac,14,"少女メディアム"
350,80098c84,0x80021394,20,"◆ムルータ(弓)Ｌｖ１"
351,80098c88,0x80021384,12,"◆−弓Ｌｖ１"
352,80098c8c,0x80021378,8,"チェイン"
353,80098c90,0x8002136c,8,"アリシア"
354,80098c94,0x80021360,8,"リィジオ"
355,80098c98,0x80021350,14,"メディアムの母"
356,80098c9c,0x80021338,20,"◆ムルータ(ブ)Ｌｖ１"
357,80098ca0,0x80021320,20,"◆−ブーメランＬｖ１"
358,80098ca4,0x80021310,14,"ザ・ローブマン"
359,80098ca8,0x80021304,10,"バタンＱ男"
360,80098cac,0x800212f4,14,"緊縛メディアム"
361,80098cb0,0x800212e0,16,"赤青２色ボックス"
362,80098cb4,0x800212c8,20,"◆リザード(剣)Ｌｖ１"
363,80098cb8,0x800212b4,16,"星オブジェ（持）"
364,80098cbc,0x800212a4,12,"絵柄プレート"
365,80098cc0,0x8002128c,20,"◆リザード(槍)Ｌｖ１"
366,80098cc4,0x8002127c,12,"◆−槍Ｌｖ１"
367,80098cc8,0x80021268,16,"月オブジェ（持）"
368,80098ccc,0x80021254,16,"水オブジェ（持）"
369,80098cd0,0x80021240,18,"太陽オブジェ（持）"
370,80098cd4,0x8002122c,16,"王、従者、女神像"
371,80098cd8,0x80021214,20,"◆リザード(弾)Ｌｖ１"
372,80098cdc,0x80021204,12,"◆−弾Ｌｖ１"
373,80098ce0,0x800211f0,18,"丸太（持）、小鉄球"
374,80098ce4,0x800211d8,20,"鉄球壁（２２２）鉄球"
375,80098ce8,0x800211c4,16,"鉄球壁（２２１）"
376,80098cec,0x800211b0,18,"鉄球壁（１１２）軸"
377,80098cf0,0x80021198,20,"◆ミミング(鎌)Ｌｖ１"
378,80098cf4,0x8002118c,10,"ミミング王"
379,80098cf8,0x80021174,20,"ボージス＆石（YM03）"
380,80098cfc,0x80021168,8,"にわとり"
381,80098d00,0x80021160,6,"からす"
382,80098d04,0x8002114c,16,"鉄球壁（１１１）"
383,80098d08,0x8002113c,12,"三色スイッチ"
384,80098d0c,0x80021128,18,"変身リザードマン像"
385,80098d10,0x80021114,18,"水浮き・鉄球（大）"
386,80098d14,0x800210fc,20,"◆ミミング(回)Ｌｖ１"
387,80098d18,0x800210e8,19,"壊せる柱(UD■/LR●)"
388,80098d1c,0x800210e4,2,"棺"
389,80098d20,0x800210d0,16,"◆ローパーＬｖ１"
390,80098d24,0x800210c8,4,"氷柱"
391,80098d28,0x800210bc,8,"水しずく"
392,80098d2c,0x800210b0,10,"◆魚Ｌｖ１"
393,80098d30,0x800210a4,8,"たいまつ"
394,80098d34,0x80021094,12,"ジェネレータ"
395,80098d38,0x80021084,12,"◆岩顔Ｌｖ１"
396,80098d3c,0x80021070,18,"流木.01水上/23空中"
397,80098d40,0x80021060,15,"泡.012乗/34否乗"
398,80098d44,0x80021050,14,"ランプスイッチ"
399,80098d48,0x80021048,4,"鍵師"
400,80098d4c,0x80021030,20,"メディアム　(YM08用)"
401,80098d50,0x80021020,12,"◆虫男Ｌｖ１"
402,80098d54,0x8002100c,16,"船員/乗客/カモメ"
403,80098d58,0x80020ff8,18,"くさり.0通/1滅/2待"
404,80098d5c,0x80020fe4,16,"◆ミミックＬｖ１"
405,80098d60,0x80020fd8,8,"壊れる鎧"
406,80098d64,0x80020fc8,12,"４５ｃ回転扉"
407,80098d68,0x80020fb0,20,"YM08結界u水d炎l砂r氷"
408,80098d6c,0x80020fa8,5,"asiba"
409,80098d70,0x80020f94,18,"魔法の鉢(びよよん)"
410,80098d74,0x80020f84,14,"◆ワームＬｖ１"
411,80098d78,0x80021204,12,"◆−弾Ｌｖ１"
412,80098d7c,0x80020f70,16,"◆ウィルダ（首）"
413,80098d80,0x80020f68,6,"◆−胴"
414,80098d84,0x80020f54,18,"◆−ドラゴンブレス"
415,80098d88,0x80020f48,10,"◆−火炎弾"
416,80098d8c,0x80020f44,2,"空"
417,80098d90,0x80020f44,2,"空"
418,80098d94,0x80020f30,18,"◆メルザス（本体）"
419,80098d98,0x80020f1c,16,"◆−追尾レーザー"
420,80098d9c,0x80020f08,18,"◆−螺旋弾（遅い）"
421,80098da0,0x80020f44,2,"空"
422,80098da4,0x80020f44,2,"空"
423,80098da8,0x80020ef4,18,"◆−追尾弾（遅い）"
424,80098dac,0x80020ee0,16,"◆−分身メルザス"
425,80098db0,0x80020ecc,16,"◆ミイラ男Ｌｖ１"
426,80098db4,0x80020ebc,12,"メルザス怨念"
427,80098db8,0x80020eac,12,"メルザス神像"
428,80098dbc,0x80020e98,16,"◆ゴーストＬｖ１"
429,80098dc0,0x80020e88,12,"風船スイッチ"
430,80098dc4,0x80020e74,16,"押せる柱(ＰＲＧ)"
431,80098dc8,0x80020e64,12,"◆泥男Ｌｖ１"
432,80098dcc,0x80021204,12,"◆−弾Ｌｖ１"
433,80098dd0,0x80020e50,19,"ミニ・ニルード(D12)"
434,80098dd4,0x80020e3c,18,"クライン（夢専用）"
435,80098dd8,0x80020e24,20,"空・空にしてもOKっす"
436,80098ddc,0x80020f44,2,"空"
437,80098de0,0x80020e14,14,"◆岩ガメＬｖ１"
438,80098de4,0x80020e00,16,"敵じゃないカメ岩"
439,80098de8,0x80020f44,2,"空"
440,80098dec,0x80020dec,16,"◆カゲマンＬｖ１"
441,80098df0,0x80020ddc,14,"◆岩ガメＬｖ２"
442,80098df4,0x80020f44,2,"空"
443,80098df8,0x80020dcc,14,"◆キノコＬｖ１"
444,80098dfc,0x80020dbc,14,"◆−胞子Ｌｖ１"
445,80098e00,0x80020da8,16,"敵じゃないキノコ"
446,80098e04,0x80020d94,16,"◆邪神化ロエイン"
447,80098e08,0x80020d7c,20,"◆−ロエインコレダー"
448,80098e0c,0x80020d64,20,"◆−ロエインボンバー"
449,80098e10,0x80020d54,14,"◆ゾンビＬｖ１"
450,80098e14,0x80020d3c,20,"◆−ロエインシールド"
451,80098e18,0x80020f44,2,"空"
452,80098e1c,0x80020d28,18,"◆ＰゾルジアＬｖ１"
453,80098e20,0x80020d14,18,"◆ＰゾルジアＬｖ２"
454,80098e24,0x80020d00,16,"◆ミイラ男Ｌｖ２"
455,80098e28,0x80020cf0,12,"◆はちＬｖ１"
456,80098e2c,0x80020cdc,16,"◆ローパーＬｖ２"
457,80098e30,0x80020f44,2,"空"
458,80098e34,0x80020ccc,12,"◆はえＬｖ１"
459,80098e38,0x80020cb4,20,"◆巨大スライム（大）"
460,80098e3c,0x80020c9c,20,"◆巨大スライム（小）"
461,80098e40,0x80020c8c,12,"◆木人Ｌｖ１"
462,80098e44,0x80021204,12,"◆−弾Ｌｖ１"
463,80098e48,0x80020c7c,12,"◆メルザス後"
464,80098e4c,0x80020c70,10,"◆−腕、弾"
465,80098e50,0x80020c64,8,"◆−触手"
466,80098e54,0x80020f44,2,"空"
467,80098e58,0x80020c54,14,"◆カマドＬｖ１"
468,80098e5c,0x80021204,12,"◆−弾Ｌｖ１"
469,80098e60,0x80020c40,16,"◆−ゾルジア魔法"
470,80098e64,0x80020c24,24,"◆−ビーム兄弟（毒ガス）"
471,80098e68,0x80020c0c,22,"◆巨大スライム（目玉）"
472,80098e6c,0x80020bf4,22,"◆−巨大スライム（体）"
473,80098e70,0x80020be4,14,"◆火の鳥Ｌｖ１"
474,80098e74,0x80020bd0,18,"◆−弾（羽）Ｌｖ１"
475,80098e78,0x80020bb8,22,"◆−弾（火の粉）Ｌｖ１"
476,80098e7c,0x80020ba8,12,"◆吸い込み君"
477,80098e80,0x80020b94,16,"◆−吸い込み効果"
478,80098e84,0x80020b80,16,"◆−子供スライム"
479,80098e88,0x80020b74,10,"◆ドラゴン"
480,80098e8c,0x80020b64,14,"◆−ドラゴン炎"
481,80098e90,0x80020b50,16,"◆−ドラゴン３弾"
482,80098e94,0x80020b40,14,"◆狼男  Ｌｖ１"
483,80098e98,0x80020b30,14,"◆−キング破片"
484,80098e9c,0x80020b1c,18,"◆−アビス（泡弾）"
485,80098ea0,0x80020b0c,14,"◆アビスＬｖ１"
486,80098ea4,0x80020af8,16,"◆−アビス（右）"
487,80098ea8,0x80020ae4,16,"◆−アビス（左）"
488,80098eac,0x80020ad4,14,"◆ムカデ（親）"
489,80098eb0,0x80020ac0,16,"◆−ムカデ（胴）"
490,80098eb4,0x80020aac,18,"◆−ムカデ（尻尾）"
491,80098eb8,0x80020a94,20,"◆−ムカデ（つなぎ）"
492,80098ebc,0x80020a80,18,"◆−ムカデ（胴２）"
493,80098ec0,0x80020a68,22,"◆ニルード（残留思念）"
494,80098ec4,0x80020a50,20,"◆リザードボスＬｖ１"
495,80098ec8,0x80020a38,20,"◆ニルード（体つき）"
496,80098ecc,0x80020a20,21,"◆−ニルード落石(222)"
497,80098ed0,0x80020a0c,18,"◆エレメントＬｖ１"
498,80098ed4,0x800209f8,16,"◆−エレメント岩"
499,80098ed8,0x800209e4,18,"◆−エレメント監視"
500,80098edc,0x800209cc,22,"◆ビーム兄弟（兄）Ｌ１"
501,80098ee0,0x800209b4,20,"◆−ビーム兄弟（弟）"
502,80098ee4,0x8002099c,21,"◆−ニルード落石(112)"
503,80098ee8,0x80020984,21,"◆−ニルード落石(111)"
504,80098eec,0x8002096c,20,"◆−ムカデ（反射弾）"
505,80098ef0,0x80020954,20,"◆−ムカデ（炸裂卵）"
506,80098ef4,0x80020940,16,"◆ムルータキング"
507,80098ef8,0x80020930,14,"◆−キング大岩"
508,80098efc,0x80020920,14,"◆−キング手下"
509,80098f00,0x80020914,10,"◆ゾルジア"
