Adresse;Ttext_jp;text_fr
0x80024c20;２９７;297
0x80024c18;２９８;298
0x80024c10;２９９;299
0x80024c04;５６：鳥;56 : oiseau
0x80024bf4;５６：鳥の羽音;56 : battement d’ailes
0x80024be8;５６：波;56 : vagues
0x80024bdc;５６：雷;56 : tonnerre
0x80024bc8;４９：家がつぶれる;49 : maison s’écroule
0x80024bb4;４９：家がきしむ２;49 : maison craque 2
0x80024ba8;５６：嵐;56 : tempête
0x80024b9c;５７：爆破;57 : explosion
0x80024b8c;５７：扉を叩く;57 : frapper la porte
0x80024b7c;５２：柱を押す;52 : pousser la colonne
0x80024b68;５７：鉄球壊れる;57 : boule de fer se brise
0x80024b54;５７：椅子を動かす;57 : déplacer la chaise
0x80024b40;５７：本がワープ;57 : livre se téléporte
0x80024b2c;５７：本棚に入れる;57 : placer le livre dans l’étagère
0x80024b1c;５７：本棚動く;57 : étagère bouge
0x80024b0c;５７：本落ちる;57 : livre tombe
0x80024af4;５２：スライド式扉開く;52 : porte coulissante s’ouvre
0x80024aec;５６：;56 :
0x80024aec;５６：;56 :
0x80024ad4;５８：メディアム消える;58 : médium disparaît
0x80024abc;５８：メディアム出現;58 : médium apparaît
0x80024aa4;５８：メディアム笑う;58 : médium rit
0x80024a98;４９：炎;49 : flammes
0x80024a8c;５８：群集;58 : foule
0x80024a74;５８：メディアム泣く;58 : médium pleure
0x80024a64;５８：岩扉崩壊;58 : porte de pierre s’effondre
0x80024a4c;５８：岩メディアム殴る;58 : frapper le rocher du médium
0x80024a34;５９：渦に巻き込まれる;59 : aspiré dans un tourbillon
0x80024a20;５９：流木落ちる;59 : bois flotté tombe
0x80024a10;５９：水が引く;59 : l’eau se retire
0x800249fc;５９：流木砕ける;59 : bois flotté se brise
0x800249ec;４１：大扉開く;41 : grande porte s’ouvre
0x800249d8;５９：エンジン崩壊;59 : moteur s’effondre
0x800249c0;５２：錆びた鎖を叩く;52 : frapper la chaîne rouillée
0x800249a8;４０：モアイ火を吐く;40 : moai crachent du feu
0x80024994;４０：モアイ叩く;40 : frapper les moai
0x80024980;４０：モアイ破壊;40 : moai détruits
0x8002496c;４０：石像を押す;40 : pousser la statue
0x80024958;４０：針天井落下;40 : plafond à pointes tombe
0x80024950;３３９;339
0x80024940;５２：歯車回る;52 : engrenages tournent
0x80024928;４０：モアイの火が漂う;40 : feu des moai flotte
0x80024910;４０：モアイレーザー;40 : laser des moai
0x800248f4;４０：ゾルジア攻撃（不可;40 : attaque de Zoldia (inutilisable)
0x800248e0;４０：ニルード出現;40 : Nilude apparaît
0x800248d8;３４５;345
0x800248d0;３４６;346
0x800248b8;４１：エリーンの笑い;41 : rire d’Elin
0x800248b0;３４８;348
0x80024898;４１：クリスタル光る;41 : cristal brille
0x80024878;４１：クリスタル割れる（不可;41 : cristal se brise (inutilisé)
0x80024868;４１：ローパー;41 : Roper
0x8002485c;４２：溶岩;42 : lave
0x80024850;４２：炎;42 : flammes
0x80024840;４２：火山弾;42 : bombes volcaniques
0x80024838;３５５;355
0x80024830;３５６;356
0x80024828;３５７;357
0x8002481c;４６：木扉;46 : porte en bois
0x80024814;３５９;359
0x800247fc;４６：エレベータ始動;46 : ascenseur démarre
0x800247e4;４６：エレベータ停止;46 : ascenseur arrêté
0x800247d4;４６：柵の罠;46 : piège de barrière
0x800247c0;４６：ムルータ喜ぶ;46 : Muruta se réjouit
0x800247b4;４７：溶岩;47 : lave
0x800247a4;４７：炎が凍る;47 : flammes gèlent
0x80024790;４７：氷が溶ける;47 : glace fond
0x80024784;４７：火柱;47 : colonnes de feu
0x80024768;５５：アランドラ吹き飛ぶ;55 : Alundra est projeté
0x80024750;４７：ウイングバード;47 : Winged Bird
0x80024740;４８：女神消滅;48 : déesse disparaît
0x80024730;４８：鏡割れる;48 : miroir se brise
0x80024728;３７２;372
0x80024718;４８：女神合成;48 : déesse fusionne
0x80024708;４８：像壊れる;48 : statue se brise
0x800246f4;４８：女神合成まえ;48 : avant fusion de la déesse
0x800246e8;４９：熱風;49 : vent brûlant
0x800246d4;４９：家がきしむ１;49 : maison craque 1
0x800246cc;３７８;378
0x800246c4;３７９;379
0x800246bc;３８０;380
0x800246b4;３８１;381
0x8002469c;５１：意識の集合体１;51 : agrégat de conscience 1
0x80024684;５１：意識の集合体２;51 : agrégat de conscience 2
0x8002466c;５１：エルナート誕生;51 : naissance d’Elnard
0x80024658;５２：鉄格子開く;52 : grille de fer s’ouvre
0x80024648;５２：結界解除;52 : barrière levée
0x80024640;３８７;387
0x80024628;５２：城門開ききった;52 : porte du château totalement ouverte
0x80024618;５２：鎖停止;52 : chaîne arrêtée
0x80024608;５２：鉄扉開く;52 : porte de fer s’ouvre
0x800245fc;５２：結界;52 : barrière magique
0x800245f4;３９２;392
0x800245e0;５５：鉄扉上がる;55 : porte de fer se lève
0x800245d8;３９４;394
0x800245c8;５５：鎧殴る;55 : frapper l’armure
0x800245b8;５６：回転扉;56 : porte tournante
0x800245a8;５４：岩転がす;54 : faire rouler le rocher
0x800245a0;３９８;398
0x80024588;５４：渦に巻き込まれる;54 : aspiré dans un tourbillon
0x8002457c;アラーム;Alarme
0x80024570;紋章を置く;Poser un emblème
0x80024564;００：鳥;00 : oiseau
0x8002455c;４０３;403
0x80024554;４０４;404
0x8002453c;３６：水晶出現＆消滅;36 : cristal apparaît / disparaît
0x8002452c;３６：石版光る;36 : stèle brille
0x8002451c;３６：石版出現;36 : stèle apparaît
0x80024508;３６：石版に乗った;36 : monté sur la stèle
0x800244f4;メルザス：ダメージ;Melzas : subit des dégâts
0x800244e4;メルザス：消滅;Melzas : disparaît
0x800244d4;メルザス：握り;Melzas : écrasement
0x800244c4;メルザス：鼓動;Melzas : battement de cœur
0x800244a8;メルザス：レーザー落ちた;Melzas : le laser s’abat
0x80024490;メルザス：目玉アタック;Melzas : attaque de l’œil
0x80024478;メルザス：レーザー発射;Melzas : tire le laser
0x80024460;５４：岩同士ぶつかる;54 : rochers se percutent
0x8002444c;５４：岩水底につく;54 : rocher touche le fond
0x80024438;５４：岩水に落ちる;54 : rocher tombe dans l’eau
0x80024424;５４：岩陸に落ちる;54 : rocher tombe sur la terre
0x80024414;５４：機雷爆発;54 : mine explose
0x80024408;５４：泡;54 : bulles
0x800243f8;５４：泡壊れる;54 : bulles éclatent
0x800243e4;６０：入り口閉まる;60 : entrée se ferme
0x800243d4;６０：宝うめる;60 : trésor enfoui
0x800243c0;６０：ランプ付く;60 : lampe s’allume
0x800243a8;６０：ランプ台落ちる;60 : support de lampe tombe
0x80024390;６０：床がせりあがる;60 : sol se soulève
0x80024388;４２８;428
0x80024380;４２９;429
0x80024378;４３０;430
0x80024370;４３１;431
0x80024368;４３２;432
0x80024360;４３３;433
0x80024358;４３４;434
0x80024350;４３５;435
0x80024348;４３６;436
0x80024340;４３７;437
0x80024338;４３８;438
0x80024330;４３９;439
0x80024328;４４０;440
0x80024320;４４１;441
0x80024318;４４２;442
0x80024310;４４３;443
0x80024308;４４４;444
0x80024300;４４５;445
0x800242f8;４４６;446
0x800242f0;４４７;447
0x800242e8;４４８;448
0x800242e0;４４９;449
0x800242d8;４５０;450
0x800242d0;４５１;451
0x800242c8;４５２;452
0x800242c0;４５３;453
0x800242b8;４５４;454
0x800242b0;４５５;455
0x800242a8;４５６;456
0x800242a0;４５７;457
0x80024298;４５８;458
0x80024290;４５９;459
0x80024288;４６０;460
0x80024280;４６１;461
0x80024278;４６２;462
0x80024270;４６３;463
0x80024268;４６４;464
0x80024260;４６５;465
0x80024258;４６６;466
0x80024250;４６７;467
0x80024248;４６８;468
0x80024240;４６９;469
0x80024238;４７０;470
0x80024230;４７１;471
0x80024228;４７２;472
0x80024220;４７３;473
0x80024218;４７４;474
0x80024210;４７５;475
0x80024208;４７６;476
0x80024200;４７７;477
0x800241f8;４７８;478
0x800241f0;４７９;479
0x800241e8;４８０;480
0x800241e0;４８１;481
0x800241d8;４８２;482
0x800241d0;４８３;483
0x800241c8;４８４;484
0x800241c0;４８５;485
0x800241b8;４８６;486
0x800241b0;４８７;487
0x800241a8;４８８;488
0x800241a0;４８９;489
0x80024198;４９０;490
0x80024190;４９１;491
0x80024188;４９２;492
0x80024180;４９３;493
0x80024178;４９４;494
0x80024170;４９５;495
0x80024168;４９６;496
0x80024160;４９７;497
0x80024158;４９８;498
0x80024150;４９９;499
0x80024140;(void *)NULL;
0x80026328;なし;Aucun
0x80026314;０１　アランドラ;01  Alundra
0x80026304;０２　アンゼス;02  Anzes
0x800262f8;０３　嵐;03  Tempête
0x800262e8;０４　ボス１;04  Boss 1
0x800262d8;０５　ボス２;05  Boss 2
0x800262c4;０６　ちんこん？;06  Requiem ?
0x800262b0;０７　フィールド;07  Champ
0x800262a4;０８　怒り;08  Colère
0x80026298;０９　遺跡;09  Ruines
0x80026288;１０　悲しみ;10  Tristesse
0x8002627c;１１　火山;11  Volcan
0x80026270;１２　教会;12  Église
0x80026264;１３　巨神;13  Titan
0x80026254;１４　最終ボス;14  Boss final
0x80026244;１５　ロエイン;15  Roein
0x80026238;１６　村１;16  Village 1
0x8002622c;１７　村２;17  Village 2
0x80026220;１８　村３;18  Village 3
0x80026210;１９　ムルータ;19  Muruta
0x80026200;２０　ニルード;20  Nilude
0x800261f0;２１　おふくろ;21  Maman
0x800261e4;２２　砂漠;22  Désert
0x800261d8;２３　最後;23  Final
0x800261c8;２４　セクタス;24  Sektas
0x800261bc;２５　戦場;25  Champ de bataille
0x800261b0;２６　神殿;26  Temple
0x800261a4;２７　自然;27  Nature
0x80026198;２８　水中;28  Sous l’eau
0x8002618c;２９　大樹;29  Grand arbre
0x80026180;３０　夢;30  Rêve
0x80026174;３１　迷い;31  Perdition
0x80026160;３２　メディアム;32  Médium
0x80026150;３３　メルザス;33  Melzas
0x80026140;３４　ミミング;34  Mimming
0x80026134;３５　妖精;35  Fées
0x80026124;３６　クリア;36  Terminé
0x8002610c;３７　イベントクリア;37  Événement terminé
0x800260fc;３８　イベント;38  Événement
0x800260e8;３９　ゲームオーバ;39  Game Over
0x800260d0;４０　アイテムゲット;40  Objet obtenu
0x800260c0;４１　ロード;41  Chargement
0x800260b4;４２　勝利;42  Victoire
0x800260a8;４３　死亡;43  Mort
0x80026098;４４　ワープ;44  Warp
0x8002608c;４５　賢者;45  Sage
0x80026084;４６　;46
0x8002607c;４７　;47
0x80026074;４８　;48
0x8002606c;４９　;49
0x80024140;(void *)NULL;
