index;pointer_address;string_address;length_bytes;text_jp;text_fr
83;80098858;0x80021efc;14;"I53_鋼鎧の腕輪";83;I53_Bracelet d’armure d’acier
84;8009885c;0x80021eec;14;"I54_銀鎧の腕輪";84;I54_Bracelet d’armure d’argent
85;80098860;0x80021edc;12;"I55_回復の輪";85;I55_Anneau de régénération
86;80098864;0x80021ecc;12;"I56_治癒の輪";86;I56_Anneau de guérison
87;80098868;0x80021ec0;10;"I57_入場券";87;I57_Billet d’entrée
88;8009886c;0x80021eac;18;"I58_アイテム０５８";88;I58_Objet 058
89;80098870;0x80021e98;18;"I59_パワーグローブ";89;I59_Gant de puissance
90;80098874;0x80021e80;20;"I60_エレベーターの鍵";90;I60_Clé de l’ascenseur
91;80098878;0x80021e78;6;"I61_鍵";91;I61_Clé
92;8009887c;0x80021e68;14;"I62_鳩血の紋章";92;I62_Emblème du sang de pigeon
93;80098880;0x80021e58;14;"I63_青碧の紋章";93;I63_Emblème azur
94;80098884;0x80021e48;14;"I64_黄玉の紋章";94;I64_Emblème de topaze
95;80098888;0x80021e38;14;"I65_褐色の紋章";95;I65_Emblème brun
96;8009888c;0x80021e28;14;"I66_真紅の紋章";96;I66_Emblème écarlate
97;80098890;0x80021e18;14;"I67_深緑の紋章";97;I67_Emblème vert sombre
98;80098894;0x80021e08;14;"I68_白銀の紋章";98;I68_Emblème d’argent
99;80098898;0x80021df8;12;"I69_１ギルダ";99;I69_1 Gilda
100;8009889c;0x80021de8;12;"I70_５ギルダ";100;I70_5 Gildas
101;800988a0;0x80021dd8;14;"I71_１０ギルダ";101;I71_10 Gildas
102;800988a4;0x80021dc8;14;"I72_３０ギルダ";102;I72_30 Gildas
103;800988a8;0x80021db8;14;"I73_？古びた鍵";103;I73_? Vieille clé
104;800988ac;0x80021dac;8;"I74_花束";104;I74_Bouquet de fleurs
105;800988b0;0x80021d98;16;"I75_アンゼスの鍵";105;I75_Clé d’Anzes
106;800988b4;0x80021d84;18;"I76_アンゼスの遺書";106;I76_Testament d’Anzes
107;800988b8;0x80021d74;12;"I77_大樹の珠";107;I77_Orbe du grand arbre
108;800988bc;0x80021d60;16;"I78_ゾリストの石";108;I78_Pierre de Zolist
109;800988c0;0x80021d4c;16;"I79_金のくちばし";109;I79_Bec en or
110;800988c4;0x80021d38;18;"I80_マジックシード";110;I80_Graine magique
111;800988c8;0x80021d2c;10;"I81_小水晶";111;I81_Petit cristal
112;800988cc;0x80021d20;10;"I82_大水晶";112;I82_Grand cristal
113;800988d0;0x80021d14;10;"I83_命の器";113;I83_Récipient de vie
114;800988d4;0x80021d04;12;"I84_小ハート";114;I84_Petit cœur
115;800988d8;0x80021cf4;12;"I85_中ハート";115;I85_Cœur moyen
116;800988dc;0x80021ce4;12;"I86_大ハート";116;I86_Grand cœur
117;800988e0;0x80021cd4;14;"I87_？お礼の品";117;I87_? Cadeau de remerciement
118;800988e4;0x80021cc4;14;"I88_エルナの本";118;I88_Livre d’Elna
119;800988e8;0x80021cb0;18;"I89_アイテム０８９";119;I89_Objet 089
120;800988ec;0x80021c9c;18;"I90_アイテム０９０";120;I90_Objet 090
121;800988f0;0x80021c88;18;"I91_アイテム０９１";121;I91_Objet 091
122;800988f4;0x80021c74;18;"I92_アイテム０９２";122;I92_Objet 092
123;800988f8;0x80021c60;18;"I93_アイテム０９３";123;I93_Objet 093
124;800988fc;0x80021c4c;18;"I94_アイテム０９４";124;I94_Objet 094
125;80098900;0x80021c38;18;"I95_アイテム０９５";125;I95_Objet 095
126;80098904;0x80021c24;18;"I96_アイテム０９６";126;I96_Objet 096
127;80098908;0x80021c10;18;"I97_アイテム０９７";127;I97_Objet 097
128;8009890c;0x80022418;6;"(空き)";128;(vide)
129;80098910;0x80022418;6;"(空き)";129;(vide)
130;80098914;0x80022418;6;"(空き)";130;(vide)
131;80098918;0x80022418;6;"(空き)";131;(vide)
132;8009891c;0x80022418;6;"(空き)";132;(vide)
133;80098920;0x80022418;6;"(空き)";133;(vide)
134;80098924;0x80022418;6;"(空き)";134;(vide)
135;80098928;0x80022418;6;"(空き)";135;(vide)
136;8009892c;0x80022418;6;"(空き)";136;(vide)
137;80098930;0x80022418;6;"(空き)";137;(vide)
138;80098934;0x80022418;6;"(空き)";138;(vide)
139;80098938;0x80022418;6;"(空き)";139;(vide)
140;8009893c;0x80022418;6;"(空き)";140;(vide)
141;80098940;0x80022418;6;"(空き)";141;(vide)
142;80098944;0x80022418;6;"(空き)";142;(vide)
143;80098948;0x80022418;6;"(空き)";143;(vide)
144;8009894c;0x80022418;6;"(空き)";144;(vide)
145;80098950;0x80022418;6;"(空き)";145;(vide)
146;80098954;0x80022418;6;"(空き)";146;(vide)
147;80098958;0x80022418;6;"(空き)";147;(vide)
148;8009895c;0x80022418;6;"(空き)";148;(vide)
149;80098960;0x80022418;6;"(空き)";149;(vide)
150;80098964;0x80021c04;10;"弾（直線）";150;Projectile (ligne droite)
151;80098968;0x80021bf8;10;"弾（落下）";151;Projectile (chute)
152;8009896c;0x80021be8;12;"弾（放物線）";152;Projectile (parabolique)
153;80098970;0x80021bd4;16;"弾（ブーメラン）";153;Projectile (boomerang)
154;80098974;0x80022418;6;"(空き)";154;(vide)
155;80098978;0x80022418;6;"(空き)";155;(vide)
156;8009897c;0x80022418;6;"(空き)";156;(vide)
157;80098980;0x80022418;6;"(空き)";157;(vide)
158;80098984;0x80022418;6;"(空き)";158;(vide)
159;80098988;0x80022418;6;"(空き)";159;(vide)
160;8009898c;0x80022418;6;"(空き)";160;(vide)
161;80098990;0x80022418;6;"(空き)";161;(vide)
162;80098994;0x80022418;6;"(空き)";162;(vide)
163;80098998;0x80022418;6;"(空き)";163;(vide)
164;8009899c;0x80022418;6;"(空き)";164;(vide)
165;800989a0;0x80022418;6;"(空き)";165;(vide)
166;800989a4;0x80022418;6;"(空き)";166;(vide)
167;800989a8;0x80022418;6;"(空き)";167;(vide)
168;800989ac;0x80022418;6;"(空き)";168;(vide)
169;800989b0;0x80022418;6;"(空き)";169;(vide)
170;800989b4;0x80022418;6;"(空き)";170;(vide)
171;800989b8;0x80022418;6;"(空き)";171;(vide)
172;800989bc;0x80022418;6;"(空き)";172;(vide)
173;800989c0;0x80022418;6;"(空き)";173;(vide)
174;800989c4;0x80022418;6;"(空き)";174;(vide)
175;800989c8;0x80022418;6;"(空き)";175;(vide)
176;800989cc;0x80022418;6;"(空き)";176;(vide)
177;800989d0;0x80022418;6;"(空き)";177;(vide)
178;800989d4;0x80022418;6;"(空き)";178;(vide)
179;800989d8;0x80022418;6;"(空き)";179;(vide)
180;800989dc;0x80022418;6;"(空き)";180;(vide)
181;800989e0;0x80022418;6;"(空き)";181;(vide)
182;800989e4;0x80022418;6;"(空き)";182;(vide)
183;800989e8;0x80022418;6;"(空き)";183;(vide)
184;800989ec;0x80022418;6;"(空き)";184;(vide)
185;800989f0;0x80022418;6;"(空き)";185;(vide)
186;800989f4;0x80022418;6;"(空き)";186;(vide)
187;800989f8;0x80022418;6;"(空き)";187;(vide)
188;800989fc;0x80022418;6;"(空き)";188;(vide)
189;80098a00;0x80022418;6;"(空き)";189;(vide)
190;80098a04;0x80022418;6;"(空き)";190;(vide)
191;80098a08;0x80022418;6;"(空き)";191;(vide)
192;80098a0c;0x80022418;6;"(空き)";192;(vide)
193;80098a10;0x80022418;6;"(空き)";193;(vide)
194;80098a14;0x80022418;6;"(空き)";194;(vide)
195;80098a18;0x80022418;6;"(空き)";195;(vide)
196;80098a1c;0x80022418;6;"(空き)";196;(vide)
197;80098a20;0x80022418;6;"(空き)";197;(vide)
198;80098a24;0x80022418;6;"(空き)";198;(vide)
199;80098a28;0x80022418;6;"(空き)";199;(vide)
200;80098a2c;0x80022418;6;"(空き)";200;(vide)
201;80098a30;0x80022418;6;"(空き)";201;(vide)
202;80098a34;0x80022418;6;"(空き)";202;(vide)
203;80098a38;0x80022418;6;"(空き)";203;(vide)
204;80098a3c;0x80022418;6;"(空き)";204;(vide)
205;80098a40;0x80022418;6;"(空き)";205;(vide)
206;80098a44;0x80022418;6;"(空き)";206;(vide)
207;80098a48;0x80022418;6;"(空き)";207;(vide)
208;80098a4c;0x80022418;6;"(空き)";208;(vide)
209;80098a50;0x80022418;6;"(空き)";209;(vide)
210;80098a54;0x80022418;6;"(空き)";210;(vide)
211;80098a58;0x80022418;6;"(空き)";211;(vide)
212;80098a5c;0x80022418;6;"(空き)";212;(vide)
213;80098a60;0x80022418;6;"(空き)";213;(vide)
214;80098a64;0x80022418;6;"(空き)";214;(vide)
215;80098a68;0x80022418;6;"(空き)";215;(vide)
216;80098a6c;0x80022418;6;"(空き)";216;(vide)
217;80098a70;0x80022418;6;"(空き)";217;(vide)
218;80098a74;0x80022418;6;"(空き)";218;(vide)
219;80098a78;0x80022418;6;"(空き)";219;(vide)
220;80098a7c;0x80022418;6;"(空き)";220;(vide)
221;80098a80;0x80022418;6;"(空き)";221;(vide)
222;80098a84;0x80022418;6;"(空き)";222;(vide)
223;80098a88;0x80022418;6;"(空き)";223;(vide)
224;80098a8c;0x80022418;6;"(空き)";224;(vide)
225;80098a90;0x80022418;6;"(空き)";225;(vide)
226;80098a94;0x80022418;6;"(空き)";226;(vide)
227;80098a98;0x80021bc4;12;"アンゼスの箱";227;Coffre d’Anzes
228;80098a9c;0x80021bb4;12;"透明（弓用）";228;Bloc transparent (pour arc)
229;80098aa0;0x80021ba0;18;"押す、攻撃ブロック";229;Bloc à pousser/attaquer
230;80098aa4;0x80021b8c;19;"鉄球壁（2x2x1）常駐";230;Mur à boule de fer (2×2×1) permanent
231;80098aa8;0x80021b7c;15;"透明君（8x2x1）";231;Bloc transparent (8×2×1)
232;80098aac;0x80021b68;19;"鉄球壁（2x2x2）常駐";232;Mur à boule de fer (2×2×2) permanent
233;80098ab0;0x80021b58;14;"透明君（3x3x3)";233;Bloc transparent (3×3×3)
234;80098ab4;0x80021b48;12;"とても重い石";234;Pierre très lourde
235;80098ab8;0x80021b30;20;"でっかい透明君(6x10)";235;Gros bloc transparent (6×10)
236;80098abc;0x80021b28;4;"砂煙";236;Nuage de sable
237;80098ac0;0x80021b10;21;"SaveBook(Don'tTouch!)";237;SaveBook (Ne pas toucher !)
238;80098ac4;0x80021afc;18;"燃えるイバラ２２２";238;Ronces enflammées 222
239;80098ac8;0x80021ae8;18;"燃えるイバラ１１２";239;Ronces enflammées 112
240;80098acc;0x80021ad0;20;"任意方向移動プレート";240;Plateforme mobile toutes directions
241;80098ad0;0x80021ab8;20;"爆弾ロッド用蓋（横）";241;Couvercle de tige-bombe (horizontal)
242;80098ad4;0x80021aa0;20;"爆弾ロッド用蓋（上）";242;Couvercle de tige-bombe (dessus)
243;80098ad8;0x80021a88;20;"爆弾ロッド用蓋（縦）";243;Couvercle de tige-bombe (vertical)
244;80098adc;0x80021a70;20;"透明キー接触（極小）";244;Déclencheur clé invisible (très petit)
245;80098ae0;0x80021a60;14;"荷積みトロッコ";245;Chariot de chargement
246;80098ae4;0x80021a48;20;"透明キー接触（標準）";246;Déclencheur clé invisible (standard)
247;80098ae8;0x80021a44;2;"墓";247;Tombe
248;80098aec;0x80021a34;14;"透明君（巨大）";248;Bloc transparent (gigantesque)
249;80098af0;0x80021a24;14;"透明君（極小）";249;Bloc transparent (minuscule)
250;80098af4;0x80022418;6;"(空き)";250;(vide)
251;80098af8;0x80021a14;14;"レーザー（？）";251;Laser (?)
252;80098afc;0x80021a0c;4;"落石";252;Rocher tombant
253;80098b00;0x800219fc;14;"爆弾で壊れる根";253;Racine destructible à la bombe
254;80098b04;0x800219f0;8;"汎用看板";254;Panneau générique
255;80098b08;0x800219ec;3;"END";255;FIN
256;80098b0c;0x800219d8;16;"ビイゼン（村長）";256;Beizen (chef du village)
257;80098b10;0x800219c8;14;"トステア（妻）";257;Tostea (épouse)
258;80098b14;0x800219b4;16;"ツーラス（息子）";258;Turas (fils)
259;80098b18;0x800219a0;18;"ユステル（占い婆）";259;Yustel (vieille voyante)
260;80098b1c;0x8002198c;18;"アンゼス（武器屋）";260;Anzes (armurier)
261;80098b20;0x80021978;16;"ロエイン（神父）";261;Roein (prêtre)
262;80098b24;0x80021964;16;"シヴィル（赤目）";262;Shivil (aux yeux rouges)
263;80098b28;0x80021954;14;"シーラ（母親）";263;Sheela (mère)
264;80098b2c;0x80021940;16;"オーレン（抗夫）";264;Oren (mineur)
265;80098b30;0x8002192c;16;"ルィック（抗夫）";265;Luik (mineur)
266;80098b34;0x80021918;16;"ヌィンダ（抗夫）";266;Nuinda (mineur)
267;80098b38;0x80021904;16;"ズーリム（抗夫）";267;Zulim (mineur)
268;80098b3c;0x800218f0;18;"セクタス（研究家）";268;Sectus (chercheur)
269;80098b40;0x800218dc;18;"ナーシア（不眠女）";269;Narsia (femme insomniaque)
270;80098b44;0x800218c8;16;"モラアス（老婆）";270;Moraas (vieille femme)
271;80098b48;0x800218b4;18;"ボージス（永眠男）";271;Bojis (homme endormi à jamais)
272;80098b4c;0x800218a0;16;"メイザン（父親）";272;Meizan (père)
273;80098b50;0x8002188c;18;"クライン（夢遊病）";273;Klein (somnambule)
274;80098b54;0x80021878;18;"ゴウセル（宗教男）";274;Gouser (homme religieux)
275;80098b58;0x80021868;14;"キーシャ（妹）";275;Kisha (petite sœur)
276;80098b5c;0x80021854;18;"エリーン（多重女）";276;Elin (femme à personnalités multiples)
277;80098b60;0x80021840;18;"ウストウ（酔どれ）";277;Ustow (ivrogne)
278;80098b64;0x80021830;14;"ベグラス（兄）";278;Beglas (frère aîné)
279;80098b68;0x80021820;14;"ネクタス（弟）";279;Nectas (frère cadet)
280;80098b6c;0x8002180c;18;"マーチス（双子父）";280;Martis (père des jumeaux)
281;80098b70;0x800217f8;18;"イルニィ（双子母）";281;Ilni (mère des jumeaux)
282;80098b74;0x800217e4;16;"ワインズ（祖父）";282;Wines (grand-père)
283;80098b78;0x800217d0;18;"ヤァード（道具屋）";283;Yaard (marchand d’objets)
284;80098b7c;0x800217bc;18;"ノウラン（肝玉妻）";284;Nauran (épouse courageuse)
285;80098b80;0x800217a8;18;"ハヴァン（岬老人）";285;Havan (vieil homme du cap)
286;80098b84;0x80021794;16;"ケイトス（墓守）";286;Keitos (gardien de cimetière)
287;80098b88;0x80021780;16;"ルータス（デブ）";287;Lutas (gros bonhomme)
288;80098b8c;0x8002176c;18;"フェイン（デブ妻）";288;Fein (femme du gros)
289;80098b90;0x80021758;16;"ワンちゃん（犬）";289;Toutou (chien)
290;80098b94;0x8002174c;8;"汎用タル";290;Tonneau générique
291;80098b98;0x80021744;6;"汎用壺";291;Cruche générique
292;80098b9c;0x80021738;8;"汎用木箱";292;Caisse en bois générique
293;80098ba0;0x80021730;6;"汎用石";293;Pierre générique
294;80098ba4;0x80021724;8;"壺その２";294;Cruche n°2
295;80098ba8;0x8002170c;20;"石（鉄球で破壊可）１";295;Pierre (destructible à la boule de fer) 1
296;80098bac;0x800216f4;20;"石（鉄球で破壊可）２";296;Pierre (destructible à la boule de fer) 2
297;80098bb0;0x800216e8;8;"持てる草";297;Herbe transportable
298;80098bb4;0x800216d0;20;"押せる石像(イベント)";298;Statue poussable (événement)
299;80098bb8;0x800216c8;4;"石像";299;Statue de pierre
300;80098bbc;0x800216b0;20;"ＳＷ（乗る）使用不可";300;Interrupteur (monter) inutilisable
301;80098bc0;0x80021698;20;"ＳＷ（踏む）←使う！";301;Interrupteur (piétiner) ← à utiliser !
302;80098bc4;0x8002168c;10;"メディアム";302;Médium
303;80098bc8;0x80021688;2;"本";303;Livre
304;80098bcc;0x8002167c;8;"持てる氷";304;Bloc de glace transportable
305;80098bd0;0x8002166c;14;"ＳＷ（レバー）";305;Interrupteur (levier)
306;80098bd4;0x80021660;10;"ＳＷ（壁）";306;Interrupteur (mur)
307;80098bd8;0x80021650;12;"ＳＷ（点火）";307;Interrupteur (allumage)
308;80098bdc;0x8002163c;16;"ＳＷ（切り替え）";308;Interrupteur (bascule)
309;80098be0;0x80021630;10;"火炎放射台";309;Plateforme lance-flammes
310;80098be4;0x80021624;10;"鉄球（小）";310;Boule de fer (petite)
311;80098be8;0x80021618;10;"鉄球（大）";311;Boule de fer (grande)
312;80098bec;0x80021608;12;"浮遊床（小）";312;Plateforme flottante (petite)
313;80098bf0;0x800215f8;12;"浮遊床（大）";313;Plateforme flottante (grande)
314;80098bf4;0x800215ec;10;"転石（小）";314;Rocher roulant (petit)
315;80098bf8;0x800215e0;10;"転石（大）";315;Rocher roulant (grand)
316;80098bfc;0x800215c8;20;"火柱（アイスロッド）";316;Pilier de feu (Ice Rod)
317;80098c00;0x800215c0;6;"発射台";317;Rampe de lancement
318;80098c04;0x800215b4;10;"ちくちく床";318;Sol piquant
319;80098c08;0x800215b0;2;"炎";319;Flamme
320;80098c0c;0x80021598;20;"いばら（火ロッド用）";320;Ronces (bâton de feu)
321;80098c10;0x80021584;18;"壊れる浮遊床（小）";321;Plateforme flottante fragile (petite)
322;80098c14;0x80021570;18;"壊れる浮遊床（大）";322;Plateforme flottante fragile (grande)
323;80098c18;0x80021564;10;"ドア（小）";323;Porte (petite)
324;80098c1c;0x80021558;10;"ドア（大）";324;Porte (grande)
325;80098c20;0x80021548;12;"鉄格子（小）";325;Grille de fer (petite)
326;80098c24;0x80021538;12;"鉄格子（大）";326;Grille de fer (grande)
327;80098c28;0x80021524;16;"階段用フタ（小）";327;Trappe d’escalier (petite)
328;80098c2c;0x80021510;16;"階段用フタ（大）";328;Trappe d’escalier (grande)
329;80098c30;0x800214fc;18;"◆スライミージェル";329;◆Slime gélatineux
330;80098c34;0x800214f4;6;"◆−弾";330;◆Projectile
331;80098c38;0x800214e4;12;"死にエリーン";331;Élin morte
332;80098c3c;0x800214d4;12;"死にボージス";332;Bojis mort
333;80098c40;0x800214c4;12;"死にモラアス";333;Moraas morte
334;80098c44;0x800214b4;12;"死にナーシア";334;Narsia morte
335;80098c48;0x800214a4;14;"◆ビーンノイド";335;◆Beannoïde
336;80098c4c;0x80021494;12;"波動エンジン";336;Moteur à ondes
337;80098c50;0x8002147c;20;"炎（アイスロッド用）";337;Flammes (pour Ice Rod)
338;80098c54;0x80021468;16;"◆オーク(斧)Lv１";338;◆Orc (hache) Niv.1
339;80098c58;0x80021454;18;"サーティ（夢の女）";339;Sarty (femme du rêve)
340;80098c5c;0x80021448;10;"ジャンプ台";340;Rampe de saut
341;80098c60;0x80021430;22;"◆オーク(メイス)Ｌｖ１";341;◆Orc (masse) Niv.1
342;80098c64;0x80021424;10;"４方向砲台";342;Tourelle à 4 directions
343;80098c68;0x80021418;10;"水平方向炎";343;Flammes horizontales
344;80098c6c;0x80021404;18;"◆オーク(鉄)Ｌｖ１";344;◆Orc (armure de fer) Niv.1
345;80098c70;0x800213f4;12;"押すスイッチ";345;Interrupteur poussoir
346;80098c74;0x800213e0;18;"大顔面（俺アイダ）";346;Grand visage (Aida)
347;80098c78;0x800213c8;20;"◆ムルータ(爪)Ｌｖ１";347;◆Muruta (griffes) Niv.1
348;80098c7c;0x800213bc;8;"吊り天井";348;Plafond suspendu
349;80098c80;0x800213ac;14;"少女メディアム";349;Jeune médium
350;80098c84;0x80021394;20;"◆ムルータ(弓)Ｌｖ１";350;◆Muruta (arc) Niv.1
351;80098c88;0x80021384;12;"◆−弓Ｌｖ１";351;◆Flèche Niv.1
352;80098c8c;0x80021378;8;"チェイン";352;Chaîne
353;80098c90;0x8002136c;8;"アリシア";353;Alicia
354;80098c94;0x80021360;8;"リィジオ";354;Rijio
355;80098c98;0x80021350;14;"メディアムの母";355;Mère du médium
356;80098c9c;0x80021338;20;"◆ムルータ(ブ)Ｌｖ１";356;◆Muruta (boomerang) Niv.1
357;80098ca0;0x80021320;20;"◆−ブーメランＬｖ１";357;◆Boomerang Niv.1
358;80098ca4;0x80021310;14;"ザ・ローブマン";358;L’Homme en robe
359;80098ca8;0x80021304;10;"バタンＱ男";359;Homme effondré
360;80098cac;0x800212f4;14;"緊縛メディアム";360;Médium ligoté
361;80098cb0;0x800212e0;16;"赤青２色ボックス";361;Boîte bicolore rouge/bleu
362;80098cb4;0x800212c8;20;"◆リザード(剣)Ｌｖ１";362;◆Homme-lézard (épée) Niv.1
363;80098cb8;0x800212b4;16;"星オブジェ（持）";363;Objet étoile (transportable)
364;80098cbc;0x800212a4;12;"絵柄プレート";364;Plaque à motif
365;80098cc0;0x8002128c;20;"◆リザード(槍)Ｌｖ１";365;◆Homme-lézard (lance) Niv.1
366;80098cc4;0x8002127c;12;"◆−槍Ｌｖ１";366;◆Lance Niv.1
367;80098cc8;0x80021268;16;"月オブジェ（持）";367;Objet lune (transportable)
368;80098ccc;0x80021254;16;"水オブジェ（持）";368;Objet eau (transportable)
369;80098cd0;0x80021240;18;"太陽オブジェ（持）";369;Objet soleil (transportable)
370;80098cd4;0x8002122c;16;"王、従者、女神像";370;Statue de roi, serviteur et déesse
371;80098cd8;0x80021214;20;"◆リザード(弾)Ｌｖ１";371;◆Homme-lézard (projectiles) Niv.1
372;80098cdc;0x80021204;12;"◆−弾Ｌｖ１";372;◆Projectile Niv.1
373;80098ce0;0x800211f0;18;"丸太（持）、小鉄球";373;Tronc (transportable), petite boule de fer
